image_document_id,source,batch_type,status_department,processing_status,image_status,item_group,change_document_type,create_user,create_timestamp,update_user,update_timestamp
DENT3RD,M,T,E,,10,LS,Y,ISERIES,,ISERIES,
DENT3RD,M,T,E,,10,CL,Y,ISERIES,,ISERIES,
DNTLREIM,M,T,E,,10,CL,Y,ISERIES,,ISERIES,
DNTLREIM,M,T,E,,10,LS,Y,ISERIES,,ISERIES,
HCFA,M,D,O,,10,CL,Y,ISERIES,,ISERIES,
HCFA,M,D,O,,10,LS,Y,ISERIES,,ISERIES,
HCFAREIM,M,D,E,,10,CL,Y,ISERIES,,ISERIES,
HCFAREIM,M,D,E,,10,LS,Y,ISERIES,,ISERIES,
HCFA3RD,M,D,E,,10,LS,Y,ISERIES,,ISERIES,
HCFA3RD,M,D,E,,10,CL,Y,ISERIES,,ISERIES,
LS-MCRX,M,P,O,,10,LS,Y,ISERIES,,ISERIES,
MANHCFA,M,D,O,,10,CL,N,ISERIES,,ISERIES,
MANHCFA,M,D,O,,10,LS,N,ISERIES,,ISERIES,
MANRX,M,P,O,,10,CL,N,ISERIES,,ISERIES,
MANRX,M,P,O,,10,LS,N,ISERIES,,ISERIES,
MANUB,M,H,O,,10,CL,N,ISERIES,,ISERIES,
MANUB,M,H,O,,10,LS,N,ISERIES,,ISERIES,
MEDREIMB,M,D,E,,10,CL,Y,ISERIES,,ISERIES,
MEDREIMB,M,D,E,,10,LS,Y,ISERIES,,ISERIES,
OCRHCFA,K,D,O,,10,CL,Y,ISERIES,,ISERIES,
OCRHCFA,K,D,O,,10,LS,Y,ISERIES,,ISERIES,
OCRHCFA,O,D,O,,10,LS,Y,ISERIES,,ISERIES,
OCRHCFA,O,D,O,,10,CL,Y,ISERIES,,ISERIES,
OCRHCFA,R,D,O,,10,CL,Y,ISERIES,,ISERIES,
OCRHCFA,R,D,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC66,R,P,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC66,R,P,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC66,O,P,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC66,O,P,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC66,K,P,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC66,K,P,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC70,K,T,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC70,K,T,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC70,O,T,O,,10,LS,Y,ISERIES,,ISERIES,
OCRTWC70,O,T,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC70,R,T,O,,10,CL,Y,ISERIES,,ISERIES,
OCRTWC70,R,T,O,,10,LS,Y,ISERIES,,ISERIES,
OCRUB,R,H,O,,10,LS,Y,ISERIES,,ISERIES,
OCRUB,R,H,O,,10,CL,Y,ISERIES,,ISERIES,
OCRUB,O,H,O,,10,CL,Y,ISERIES,,ISERIES,
OCRUB,O,H,O,,10,LS,Y,ISERIES,,ISERIES,
OCRUB,K,H,O,,10,LS,Y,ISERIES,,ISERIES,
OCRUB,K,H,O,,10,CL,Y,ISERIES,,ISERIES,
RSBILL,M,,S,,10,CL,Y,ISERIES,,ISERIES,
RSBILL,M,,S,,10,LS,Y,ISERIES,,ISERIES,
RSBILL3,M,,S,,10,LS,Y,ISERIES,,ISERIES,
RSBILL3,M,,S,,10,CL,Y,ISERIES,,ISERIES,
RXREIM,M,P,E,,10,CL,Y,ISERIES,,ISERIES,
RXREIM,M,P,E,,10,LS,Y,ISERIES,,ISERIES,
RX3RD,M,P,E,,10,LS,Y,ISERIES,,ISERIES,
RX3RD,M,P,E,,10,CL,Y,ISERIES,,ISERIES,
TWCC-66,M,P,O,,10,CL,Y,ISERIES,,ISERIES,
TWCC-66,M,P,O,,10,LS,Y,ISERIES,,ISERIES,
TWCC-70,M,T,O,,10,CL,Y,ISERIES,,ISERIES,
TWCC-70,M,T,O,,10,LS,Y,ISERIES,,ISERIES,
UB,M,H,O,,10,CL,Y,ISERIES,,ISERIES,
UB,M,H,O,,10,LS,Y,ISERIES,,ISERIES,
UBREIM,M,H,E,,10,CL,Y,ISERIES,,ISERIES,
UBREIM,M,H,E,,10,LS,Y,ISERIES,,ISERIES,
UB3RD,M,H,E,,10,LS,Y,ISERIES,,ISERIES,
UB3RD,M,H,E,,10,CL,Y,ISERIES,,ISERIES,
RFND,M,R,S,,10,CL,Y,ISERIES,,ISERIES,
RFND,M,R,S,,10,LS,Y,ISERIES,,ISERIES,
HCFAEBIL,M,D,O,,10,CL,Y,ISERIES,,ISERIES,
HCFAEBIL,M,D,O,,10,LS,Y,ISERIES,,ISERIES,
UBEBILL,M,H,O,,10,CL,Y,ISERIES,,ISERIES,
UBEBILL,M,H,O,,10,LS,Y,ISERIES,,ISERIES,
EDIRXINV,M,P,O,,10,CL,Y,ISERIES,,ISERIES,
EDIRXINV,M,P,O,,10,LS,Y,ISERIES,,ISERIES,